Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit,Tiros Local,Tiros Visit,Tiros a puerta Local,Tiros a puerta Visit,Posesion Local,Posesion Visit,Pases Local,Pases Visit,Precision de pases Local,Precision de pases Visit,Faltas Local,Faltas Visit,Tarjetas amarillas Local,Tarjetas amarillas Visit,Tarjetas rojas Local,Tarjetas rojas Visit,Fueras de juego Local,Fueras de juego Visit,Saques de esquina Local,Saques de esquina Visit
12/11/23,EIBAR,ALBACETE,1,1,12,16,6,6,0.58,0.42,534,382,0.79,0.71,15,15,1,1,0,0,2,1,3,7
13/11/23,OVIEDO,CARTAGENA,1,1,18,2,3,1,0.72,0.28,560,230,0.89,0.61,11,15,4,8,0,0,3,0,4,2
17/11/23,VALLADOLID,LEGANES,1,1,21,11,3,3,0.66,0.34,582,302,0.88,0.74,13,12,1,3,0,0,1,1,3,6
18/11/23,ALCORCON,GIJON,0,0,15,16,2,2,0.34,0.66,271,514,0.77,0.86,14,10,2,2,0,0,2,1,5,7
18/11/23,AMOREBIETA,TENERIFE,2,0,5,23,3,6,0.34,0.66,262,474,0.66,0.79,8,9,2,2,1,1,6,3,3,14
18/11/23,ZARAGOZA,HUESCA,0,2,11,7,3,3,0.63,0.37,483,302,0.78,0.62,16,21,2,3,1,0,4,2,9,4
18/11/23,ESPANYOL,ELCHE,2,0,12,15,5,3,0.43,0.57,319,414,0.74,0.77,25,11,3,2,0,0,1,2,8,5
19/11/23,FERROL,BURGOS,1,1,13,9,5,2,0.6,0.4,544,374,0.83,0.74,13,11,1,5,0,0,2,1,3,4
19/11/23,ELDENSE,MIRANDES,2,2,20,7,6,3,0.53,0.47,362,329,0.76,0.77,21,14,1,1,0,0,1,0,7,1
19/11/23,OVIEDO,EIBAR,2,1,9,7,3,2,0.53,0.47,453,424,0.83,0.82,11,15,4,3,0,0,0,1,4,4
19/11/23,VILLARREALB,ANDORRA,0,0,12,16,2,5,0.38,0.62,346,552,0.78,0.88,12,7,2,1,0,0,1,2,2,7
19/11/23,CARTAGENA,ALBACETE,1,1,9,18,2,2,0.39,0.61,347,533,0.72,0.82,10,20,1,2,0,0,0,4,2,9
20/11/23,LEVANTE,SANTANDER,2,4,26,9,5,5,0.61,0.39,515,352,0.82,0.72,15,11,2,1,0,0,3,4,8,5
24/11/23,HUESCA,VALLADOLID,0,1,10,11,2,5,0.43,0.57,359,474,0.76,0.8,12,15,4,4,0,0,7,1,3,4
25/11/23,BURGOS,ANDORRA,0,0,11,7,2,1,0.36,0.64,309,546,0.74,0.87,7,13,1,1,0,0,4,0,3,3
25/11/23,SANTANDER,VILLARREALB,2,0,10,7,3,0,0.4,0.6,361,535,0.74,0.83,17,20,3,4,0,0,2,0,4,3
25/11/23,ALBACETE,ZARAGOZA,1,0,18,5,5,2,0.54,0.46,438,393,0.73,0.72,19,5,2,2,0,0,2,0,4,5
25/11/23,EIBAR,LEVANTE,3,1,20,12,7,7,0.58,0.42,532,403,0.83,0.8,12,12,3,1,0,0,2,0,10,3
