Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit
5/2/23,LUGO,IBIZA,0,0
6/2/23,BURGOS,PALMAS,0,0
10/2/23,GRANADA,TENERIFE,2,0
11/2/23,ZARAGOZA,ALAVES,1,4
11/2/23,MIRANDES,VILLARREALB,2,1
11/2/23,LEVANTE,ANDORRA,1,0
11/2/23,PALMAS,LUGO,3,0
12/2/23,ALBACETE,MALAGA,3,2
12/2/23,OVIEDO,BURGOS,0,1
12/2/23,EIBAR,CARTAGENA,0,3
12/2/23,GIJON,HUESCA,1,1
12/2/23,IBIZA,PONFERRADINA,1,1
13/2/23,SANTANDER,LEGANES,2,1
17/2/23,CARTAGENA,OVIEDO,2,1
18/2/23,LUGO,EIBAR,0,2
18/2/23,PONFERRADINA,LEVANTE,0,0
18/2/23,LEGANES,PALMAS,0,0
18/2/23,TENERIFE,MIRANDES,1,0
19/2/23,HUESCA,GRANADA,1,1
19/2/23,ANDORRA,GIJON,1,0
19/2/23,ALAVES,IBIZA,4,2
19/2/23,BURGOS,ALBACETE,1,1
19/2/23,VILLARREALB,SANTANDER,2,1
20/2/23,MALAGA,ZARAGOZA,3,0
24/2/23,EIBAR,VILLARREALB,2,0
25/2/23,ALAVES,CARTAGENA,0,0
25/2/23,SANTANDER,ANDORRA,2,1
25/2/23,GIJON,TENERIFE,1,0
25/2/23,MIRANDES,LEGANES,0,0
26/2/23,IBIZA,HUESCA,2,2
26/2/23,LEVANTE,LUGO,3,1
26/2/23,ZARAGOZA,BURGOS,0,0
26/2/23,PALMAS,PONFERRADINA,2,0
26/2/23,OVIEDO,ALBACETE,1,1
27/2/23,GRANADA,MALAGA,1,0
3/3/23,ANDORRA,PALMAS,0,0
4/3/23,BURGOS,GRANADA,1,3
4/3/23,HUESCA,LEVANTE,3,0
4/3/23,TENERIFE,EIBAR,0,1
4/3/23,MIRANDES,OVIEDO,1,0
5/3/23,LEGANES,IBIZA,0,1
5/3/23,ALBACETE,GIJON,2,1
5/3/23,MALAGA,SANTANDER,0,1
5/3/23,LUGO,ZARAGOZA,0,0
5/3/23,PONFERRADINA,CARTAGENA,0,3
6/3/23,VILLARREALB,ALAVES,1,0
10/3/23,OVIEDO,TENERIFE,0,0
11/3/23,EIBAR,BURGOS,1,0
11/3/23,ALAVES,LUGO,0,0
11/3/23,IBIZA,VILLARREALB,0,0
11/3/23,PALMAS,MALAGA,2,2
12/3/23,ZARAGOZA,LEGANES,3,0
12/3/23,GIJON,MIRANDES,3,4
12/3/23,LEVANTE,ALBACETE,0,0
12/3/23,CARTAGENA,ANDORRA,0,3
12/3/23,GRANADA,PONFERRADINA,2,2
13/3/23,SANTANDER,HUESCA,1,1
17/3/23,MALAGA,LEVANTE,0,0
18/3/23,ANDORRA,IBIZA,2,2
18/3/23,ALBACETE,GRANADA,1,2
18/3/23,LEGANES,OVIEDO,0,1
18/3/23,TENERIFE,PALMAS,4,1
18/3/23,PONFERRADINA,ALAVES,1,0
19/3/23,BURGOS,GIJON,0,0
19/3/23,HUESCA,ZARAGOZA,1,1
19/3/23,VILLARREALB,CARTAGENA,5,2
19/3/23,LUGO,SANTANDER,1,1
20/3/23,MIRANDES,EIBAR,2,3
24/3/23,CARTAGENA,LUGO,2,0
25/3/23,IBIZA,BURGOS,2,0
25/3/23,SANTANDER,LEVANTE,0,1
25/3/23,ALAVES,TENERIFE,1,0
26/3/23,EIBAR,ANDORRA,0,0
26/3/23,PONFERRADINA,MIRANDES,0,0
26/3/23,ZARAGOZA,ALBACETE,1,1
26/3/23,GRANADA,OVIEDO,1,0
26/3/23,VILLARREALB,HUESCA,0,0
26/3/23,PALMAS,GIJON,1,1
27/3/23,MALAGA,LEGANES,2,0
31/3/23,LEVANTE,ZARAGOZA,1,1
1/4/23,BURGOS,SANTANDER,2,1
1/4/23,LEGANES,CARTAGENA,1,3
1/4/23,TENERIFE,VILLARREALB,1,1
1/4/23,OVIEDO,EIBAR,1,1
2/4/23,HUESCA,ALAVES,0,1
2/4/23,LUGO,PONFERRADINA,0,0
2/4/23,ANDORRA,MALAGA,1,0
2/4/23,GIJON,GRANADA,1,0
2/4/23,MIRANDES,IBIZA,2,2
3/4/23,ALBACETE,PALMAS,1,2
7/4/23,LUGO,TENERIFE,0,0
7/4/23,VILLARREALB,MALAGA,1,2
8/4/23,ZARAGOZA,GRANADA,1,0
8/4/23,IBIZA,GIJON,1,3
8/4/23,SANTANDER,ALBACETE,4,1
9/4/23,HUESCA,BURGOS,2,1
9/4/23,EIBAR,LEVANTE,1,1
9/4/23,CARTAGENA,MIRANDES,1,0
9/4/23,PONFERRADINA,LEGANES,0,1
9/4/23,PALMAS,OVIEDO,0,1
10/4/23,ALAVES,ANDORRA,0,0
14/4/23,ALBACETE,EIBAR,3,1
15/4/23,GRANADA,PALMAS,2,1
15/4/23,ZARAGOZA,SANTANDER,4,1
15/4/23,OVIEDO,LUGO,2,1
15/4/23,BURGOS,PONFERRADINA,2,2
16/4/23,ANDORRA,HUESCA,1,0
16/4/23,GIJON,ALAVES,0,0
16/4/23,MALAGA,CARTAGENA,1,0
16/4/23,TENERIFE,IBIZA,4,0
16/4/23,LEGANES,VILLARREALB,1,0
17/4/23,LEVANTE,MIRANDES,1,2
21/4/23,EIBAR,ZARAGOZA,1,1
22/4/23,VILLARREALB,ALBACETE,1,2
22/4/23,CARTAGENA,GIJON,2,1
22/4/23,PONFERRADINA,ANDORRA,1,4
22/4/23,PALMAS,LEVANTE,0,0
22/4/23,IBIZA,OVIEDO,1,2
23/4/23,LUGO,MALAGA,0,2
23/4/23,MIRANDES,BURGOS,2,1
23/4/23,SANTANDER,GRANADA,1,0
23/4/23,ALAVES,LEGANES,2,1
24/4/23,HUESCA,TENERIFE,1,1
28/4/23,SANTANDER,IBIZA,1,0
29/4/23,LEVANTE,ALAVES,2,0
29/4/23,ALBACETE,CARTAGENA,1,1
29/4/23,TENERIFE,LEGANES,1,0
30/4/23,ANDORRA,MIRANDES,0,1
30/4/23,OVIEDO,PONFERRADINA,3,2
30/4/23,GRANADA,EIBAR,1,1
30/4/23,ZARAGOZA,PALMAS,1,1
1/5/23,GIJON,LUGO,3,1
1/5/23,MALAGA,HUESCA,0,0
1/5/23,BURGOS,VILLARREALB,1,0
5/5/23,ALAVES,GRANADA,1,1
6/5/23,MIRANDES,SANTANDER,1,1
6/5/23,LEGANES,HUESCA,2,1
6/5/23,TENERIFE,LEVANTE,1,0
7/5/23,VILLARREALB,GIJON,2,0
7/5/23,PONFERRADINA,MALAGA,2,0
7/5/23,IBIZA,ALBACETE,0,5
7/5/23,OVIEDO,ZARAGOZA,2,1
7/5/23,LUGO,ANDORRA,2,2
7/5/23,CARTAGENA,BURGOS,0,0
8/5/23,EIBAR,PALMAS,0,1
