PartidoID,GolesLocal,GolesVisit,Total goles,OneHotEncoding,,Resultado
22-23-359,1,0,1,0,,
22-23-360,0,0,0,0,,
22-23-361,1,1,2,0,,
22-23-362,2,0,2,0,,
22-23-363,1,1,2,0,,
22-23-364,2,1,3,1,,
22-23-365,1,3,4,1,,
22-23-366,1,1,2,0,,
22-23-367,1,1,2,0,,
22-23-368,0,1,1,0,,
22-23-369,0,0,0,0,,
22-23-370,1,0,1,0,,
22-23-371,1,0,1,0,,
22-23-372,2,2,4,1,,
22-23-373,1,2,3,1,,
22-23-374,0,0,0,0,,
22-23-375,1,2,3,1,,
22-23-376,1,0,1,0,,
22-23-377,1,3,4,1,,
22-23-378,4,1,5,1,,
22-23-379,2,1,3,1,,
22-23-380,1,1,2,0,,
22-23-381,1,0,1,0,,
22-23-382,0,1,1,0,,
22-23-383,0,1,1,0,,
22-23-384,0,0,0,0,,
22-23-385,3,1,4,1,,
22-23-386,2,1,3,1,,
22-23-387,4,1,5,1,,
22-23-388,2,1,3,1,,
22-23-389,2,2,4,1,,
22-23-390,1,0,1,0,,
22-23-391,0,0,0,0,,
22-23-392,1,0,1,0,,
22-23-393,4,0,4,1,,
22-23-394,1,0,1,0,,
22-23-395,1,2,3,1,,
22-23-396,1,1,2,0,,
22-23-397,1,2,3,1,,
22-23-398,2,1,3,1,,
22-23-399,1,4,5,1,,
22-23-400,0,0,0,0,,
22-23-401,1,2,3,1,,
22-23-402,0,2,2,0,,
22-23-403,2,1,3,1,,
22-23-404,1,0,1,0,,
22-23-405,2,1,3,1,,
22-23-406,1,1,2,0,,
22-23-407,1,0,1,0,,
22-23-408,2,0,2,0,,
22-23-409,1,1,2,0,,
22-23-410,1,0,1,0,,
22-23-411,0,1,1,0,,
22-23-412,3,2,5,1,,
22-23-413,1,1,2,0,,
22-23-414,1,1,2,0,,
22-23-415,3,1,4,1,,
22-23-416,0,0,0,0,,
22-23-417,1,0,1,0,,
22-23-418,1,1,2,0,,
22-23-419,1,1,2,0,,
22-23-420,2,1,3,1,,
22-23-421,1,0,1,0,,
22-23-422,2,0,2,0,,
22-23-423,2,0,2,0,,
22-23-424,0,5,5,1,,
22-23-425,2,1,3,1,,
22-23-426,2,2,4,1,,
22-23-427,0,0,0,0,,
22-23-428,0,1,1,0,,
22-23-429,0,3,3,1,,
22-23-430,1,1,2,0,,
22-23-431,2,0,2,0,,
22-23-432,2,0,2,0,,
22-23-433,2,0,2,0,,
22-23-434,1,0,1,0,,
22-23-435,1,0,1,0,,
22-23-436,1,1,2,0,,
22-23-437,1,1,2,0,,
22-23-438,1,1,2,0,,
22-23-439,0,0,0,0,,
22-23-440,1,0,1,0,,
22-23-441,1,2,3,1,,
22-23-442,1,4,5,1,,
22-23-443,2,2,4,1,,
22-23-444,1,1,2,0,,
22-23-445,1,3,4,1,,
22-23-446,2,3,5,1,,
22-23-447,2,1,3,1,,
22-23-448,2,1,3,1,,
22-23-449,1,0,1,0,,
22-23-450,1,1,2,0,,
22-23-451,1,1,2,0,,
22-23-452,0,1,1,0,,
22-23-453,4,3,7,1,,
22-23-454,2,1,3,1,,
22-23-455,1,1,2,0,,
22-23-456,2,0,2,0,,
22-23-457,0,1,1,0,,
22-23-458,2,1,3,1,,
22-23-459,0,0,0,0,,
22-23-460,1,4,5,1,,
22-23-461,3,1,4,1,,
22-23-462,1,1,2,0,,
22-23-463,1,3,4,1,,
22-23-464,3,0,3,1,,
22-23-465,2,0,2,0,,
22-23-466,0,0,0,0,,
22-23-467,0,1,1,0,,
